이름,주제,최종 편집 일시,상태,날짜
전체 일정,전체 일정,2023년 11월 23일 오후 11:57,진행 중,2023년 11월 16일
기획,어떤 금융 사이트를 만들어야 할까?,2023년 11월 23일 오전 9:49,시작 전,2023년 11월 21일 → 2023년 11월 23일
설계,어제 만든 ERD를 기반으로 front와 back 설계하기,2023년 11월 23일 오전 9:45,시작 전,
😊😊추가 아이디어,회의하면서 나온 추가 아이디어,2023년 11월 23일 오전 9:46,완료,
어려웠던점,,2023년 11월 20일 오후 10:23,시작 전,
당일에 해놓은 것,,2023년 11월 23일 오전 9:13,시작 전,
-민준 할 것,,2023년 11월 24일 오전 3:58,시작 전,
url 관리,,2023년 11월 22일 오전 8:46,시작 전,
"View, Component 관리",,2023년 11월 21일 오전 8:47,시작 전,
,,2023년 11월 21일 오후 5:45,시작 전,
urls,,2023년 11월 24일 오후 4:54,시작 전,
api,,2023년 11월 24일 오후 4:54,시작 전,
